"Tier","Seed","Night","CampaignComplete","Modifier","Rides","Earnings","Quota","FuelEnd","TimeEnd","WardsEnd","FailureCause","Reason","HighestFareShare","Routes","Fares"
"almanac-3","12","3","False","None","6","255","300","36","25","5","violation","Speed in snow conditions attracted the attention of winter spirits...","0.3725","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Police;Police;Shortcut;Shortcut;Scenic","5:95;8:20;4:69;3:48;6:21;2:38"
"almanac-3","13","1","False","None","4","88","150","21","33","0","meltdown","The passenger's need became uncontrollable.","0.5568","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Shortcut;Scenic;Shortcut","8:13;10:49;3:31;1:19"
"almanac-3","14","1","False","None","2","113","150","13","224","0","meltdown","The passenger's need became uncontrollable.","0.4513","Police;Police;Scenic;Scenic;Scenic;Scenic","13:37;9:51"
"almanac-3","15","1","False","None","4","206","150","25","200","4","success","completed","0.301","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic","9:50;4:49;1:19;10:62"
"almanac-3","15","2","False","None","3","116","225","25","41","6","time","You could not make the next leg. The shift ends where it stands.","0.5","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic","3:53;9:58;1:17"
"almanac-3-all-skills","1","1","False","None","4","211","150","4","193","2","success","completed","0.2986","Scenic;Scenic;Shortcut;Shortcut;Shortcut;Shortcut;Scenic;Scenic","1:41;8:25;3:32;12:63"
"almanac-3-all-skills","1","2","False","None","3","307","225","57","316","5","success","completed","0.3811","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","4:88;3:52;5:117"
"almanac-3-all-skills","1","3","False","Witching Hour","6","330","255","36","92","5","success","completed","0.2606","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Police;Scenic;Scenic","2:29;4:86;9:46;3:54;8:32;1:42"
"almanac-3-all-skills","1","4","False","None","9","447","375","23","27","10","success","completed","0.1767","Police;Police;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Police;Police","6:19;12:79;7:47;3:58;10:41;9:73;1:33;2:46;13:28"
"almanac-3-all-skills","1","5","False","Blood Moon","7","390","450","57","17","7","time","You could not make the next leg. The shift ends where it stands.","0.2282","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Police;Police;Scenic;Scenic;Police;Police;Scenic;Shortcut","8:41;1:65;3:70;14:87;12:89;6:34;10:31"
"almanac-3-all-skills","2","1","False","None","3","216","150","41","254","2","success","completed","0.3796","Scenic;Scenic;Police;Police;Scenic;Scenic","9:64;6:20;4:82"
"almanac-3-all-skills","2","2","False","None","6","313","225","33","124","7","success","completed","0.2236","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Shortcut;Shortcut","8:26;1:39;4:70;9:54;10:43;2:49"
"almanac-3-all-skills","2","3","False","Blood Moon","6","393","300","34","189","9","success","completed","0.2646","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","1:51;3:43;7:74;10:46;8:34;4:104"
"almanac-3-all-skills","2","4","False","None","8","491","375","26","122","14","success","completed","0.2403","Scenic;Scenic;Shortcut;Scenic;Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","10:47;2:59;3:42;12:67;13:37;1:50;8:30;5:118"
"almanac-3-all-skills","2","5","False","None","8","416","450","51","1","23","time","You could not make the next leg. The shift ends where it stands.","0.226","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Police;Police","2:44;7:76;1:40;3:33;11:94;12:59;4:63;8:34"
"almanac-3-all-skills","3","1","False","None","2","214","150","46","276","6","success","completed","0.5467","Scenic;Scenic;Scenic;Scenic","5:117;7:47"
"almanac-3-all-skills","3","2","False","None","6","282","225","12","102","5","success","completed","0.2057","Shortcut;Shortcut;Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic","3:58;8:26;1:36;10:29;2:43;9:58"
"almanac-3-all-skills","3","3","False","None","7","394","300","29","111","3","success","completed","0.1853","Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","7:73;1:37;8:28;10:50;12:50;3:61;2:54"
"almanac-3-all-skills","3","4","False","Dead Frequency","7","320","375","48","17","4","time","You could not make the next leg. The shift ends where it stands.","0.2156","Scenic;Scenic;Shortcut;Shortcut;Police;Shortcut;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic","1:50;3:47;8:29;10:43;9:47;14:69;7:62"
"almanac-3-all-skills","4","1","False","None","1","35","150","78","404","2","hidden-rule","Hidden Rule Violated!
Speed in snow conditions attracted the attention of winter spirits...","1","Scenic;Scenic","1:35"
"almanac-3-all-skills","5","1","False","None","5","217","150","29","138","4","success","completed","0.2811","Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Normal","1:61;6:27;2:37;3:32;10:28"
"almanac-3-all-skills","5","2","False","None","5","298","225","42","199","5","success","completed","0.2315","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","10:69;8:33;1:61;3:25;12:69"
"almanac-3-all-skills","5","3","False","None","6","286","300","35","0","6","time","You could not make the next leg. The shift ends where it stands.","0.2063","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut","8:32;1:59;7:45;3:40;4:57;10:47"
"almanac-3-all-skills","6","1","False","None","4","238","150","23","206","1","success","completed","0.3151","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Police;Police","2:27;4:54;1:32;14:75"
"almanac-3-all-skills","6","2","False","Dead Frequency","4","111","225","37","38","2","time","You could not make the next leg. The shift ends where it stands.","0.3964","Police;Police;Police;Police;Police;Police;Scenic;Scenic;Scenic","13:27;6:17;14:44;1:41"
"almanac-3-all-skills","7","1","False","None","4","232","150","31","211","7","success","completed","0.2845","Scenic;Scenic;Shortcut;Shortcut;Shortcut;Shortcut;Scenic;Scenic","7:66;8:24;2:22;4:55"
"almanac-3-all-skills","7","2","False","None","3","134","225","59","262","5","hidden-rule","Hidden Rule Violated!
Speed in snow conditions attracted the attention of winter spirits...","0.4701","Police;Police;Scenic;Scenic;Scenic;Scenic","6:20;12:63;7:60"
"almanac-3-all-skills","8","1","False","None","4","201","150","20","196","2","success","completed","0.2985","Scenic;Scenic;Police;Police;Police;Police;Scenic;Scenic","1:60;8:21;6:17;10:38"
"almanac-3-all-skills","8","2","False","None","5","298","225","30","154","9","success","completed","0.3154","Police;Police;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Police;Police","6:27;7:94;2:32;4:59;13:45"
"almanac-3-all-skills","8","3","False","Dead Frequency","7","289","300","21","0","8","quota","You only earned $289 but needed $300.","0.2145","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Shortcut;Shortcut;Scenic;Police","10:58;9:39;1:31;6:21;12:62;2:39;7:57"
"almanac-3-all-skills","9","1","False","None","1","41","150","84","412","2","hidden-rule","Hidden Rule Violated!
In the fog, darkness means something different. You should have kept the lights on.","1","Police;Police","13:41"
"almanac-3-all-skills","10","1","False","None","3","203","150","32","298","2","success","completed","0.2857","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic","2:41;7:58;12:54"
"almanac-3-all-skills","10","2","False","Hungry City","7","220","281","58","1","7","time","You could not make the next leg. The shift ends where it stands.","0.2273","Police;Police;Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Shortcut;Scenic;Normal","13:26;8:17;1:39;4:41;2:50;3:27;7:47"
"almanac-3-all-skills","11","1","False","None","4","246","150","1","78","2","success","completed","0.2846","Scenic;Scenic;Scenic;Scenic;Police;Scenic;Scenic;Scenic","10:45;1:31;3:70;9:59"
"almanac-3-all-skills","11","2","False","Dead Frequency","7","327","225","28","95","9","success","completed","0.1896","Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic","6:23;10:44;9:47;1:25;4:60;2:34;3:62"
"almanac-3-all-skills","11","3","False","None","3","159","300","27","187","7","violation","The wind carried something in that you shouldn't have let inside...","0.3899","Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut","12:62;7:46;4:51"
"almanac-3-all-skills","12","1","False","None","3","233","150","41","258","10","success","completed","0.3948","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic","8:28;9:92;4:63"
"almanac-3-all-skills","12","2","False","None","5","284","225","19","136","13","success","completed","0.2676","Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic","8:35;3:43;14:76;12:63;2:26"
"almanac-3-all-skills","12","3","False","Blood Moon","7","458","300","25","6","9","success","completed","0.2773","Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Police;Police;Scenic;Scenic;Scenic;Police;Scenic;Shortcut","1:43;4:74;2:19;8:45;9:113;16:5;15:127"
"almanac-3-all-skills","12","4","False","None","9","358","375","18","0","5","quota","You only earned $358 but needed $375.","0.2626","Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Scenic;Scenic;Scenic;Scenic;Police;Police","2:16;7:61;6:20;1:45;4:63;10:36;9:94;3:19;8:40"
"almanac-3-all-skills","13","1","False","None","5","225","150","19","53","11","success","completed","0.2267","Shortcut;Shortcut;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Scenic;Normal","8:25;10:42;1:24;3:51;12:42"
"almanac-3-all-skills","13","2","False","None","6","304","225","36","163","14","success","completed","0.227","Police;Police;Shortcut;Shortcut;Scenic;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Police;Police","6:17;8:23;3:65;1:48;2:50;14:69"
"almanac-3-all-skills","13","3","False","None","7","379","300","24","81","19","success","completed","0.219","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic","1:50;3:49;6:25;10:55;5:83;8:27;9:58"
"almanac-3-all-skills","13","4","False","None","7","320","375","34","3","17","time","You could not make the next leg. The shift ends where it stands.","0.2344","Police;Police;Shortcut;Shortcut;Scenic;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Police","13:45;3:55;2:45;9:75;4:48;1:32;8:38"
"almanac-3-all-skills","14","1","False","None","4","235","150","28","271","1","success","completed","0.2681","Shortcut;Shortcut;Police;Police;Police;Police;Scenic;Scenic","3:38;8:32;14:52;12:63"
"almanac-3-all-skills","14","2","False","Blood Moon","4","284","225","24","215","2","success","completed","0.257","Shortcut;Shortcut;Police;Police;Scenic;Scenic;Scenic;Scenic","3:53;8:47;1:73;9:61"
"almanac-3-all-skills","14","3","False","None","7","267","300","32","0","2","quota","You only earned $267 but needed $300.","0.2022","Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Shortcut;Shortcut;Scenic;Scenic;Police;Police;Normal;Police","1:54;7:52;12:54;2:29;10:45;6:18;9:33"
"almanac-3-all-skills","15","1","False","None","4","212","150","38","274","2","success","completed","0.2642","Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Shortcut","9:56;4:45;8:20;3:26"
"almanac-3-all-skills","15","2","False","Blood Moon","5","275","225","22","198","2","success","completed","0.2436","Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Police;Police;Scenic;Scenic","1:48;10:43;9:67;8:31;2:45"
"almanac-3-all-skills","15","3","False","Hungry City","8","291","375","38","0","5","quota","You only earned $291 but needed $375.","0.2027","Shortcut;Shortcut;Police;Police;Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Police;Police","3:45;13:40;8:25;1:46;6:16;7:59;4:51;10:36"
